App,Graph,Total Batch Size,Core Graph Size (%),Accuracy (%)
bfs-core,dl,0.08,22.38,62.3
bfs-core,dl,0.08,22.38,62.44
bfs-core,dl,0.08,22.38,62.05
bfs-core,dl,0.08,22.32,61.9
bfs-core,dl,0.16,24.32,63.94
bfs-core,dl,0.16,24.32,64.11
bfs-core,dl,0.16,24.28,63.83
bfs-core,dl,0.16,24.36,63.99
bfs-core,dl,0.32,27.95,70.1
bfs-core,dl,0.32,27.95,69.93
bfs-core,dl,0.32,27.94,70.13
bfs-core,dl,0.32,27.93,69.89
bfs-core,ttw,0.08,14.69,55.57
bfs-core,ttw,0.08,14.64,55.32
bfs-core,ttw,0.08,14.74,55.5
bfs-core,ttw,0.08,14.6,55.34
bfs-core,ttw,0.16,16.58,60.79
bfs-core,ttw,0.16,16.55,60.93
bfs-core,ttw,0.16,16.56,60.93
bfs-core,ttw,0.16,16.57,61.0
bfs-core,ttw,0.32,18.9,56.73
bfs-core,ttw,0.32,18.88,56.59
bfs-core,ttw,0.32,18.93,56.74
bfs-core,ttw,0.32,18.88,56.6
ssr-core,dl,0.08,24.2,66.4
ssr-core,dl,0.08,24.22,68.84
ssr-core,dl,0.08,24.24,68.89
ssr-core,dl,0.08,24.2,67.11
ssr-core,dl,0.16,25.06,73.92
ssr-core,dl,0.16,25.06,74.3
ssr-core,dl,0.16,25.06,73.6
ssr-core,dl,0.16,25.06,74.5
ssr-core,dl,0.32,27.16,83.21
ssr-core,dl,0.32,27.16,83.36
ssr-core,dl,0.32,27.17,83.05
ssr-core,dl,0.32,27.18,83.61
ssr-core,ttw,0.08,9.08,97.97
ssr-core,ttw,0.08,9.16,97.99
ssr-core,ttw,0.08,9.18,98.0
ssr-core,ttw,0.08,9.06,97.96
ssr-core,ttw,0.16,10.09,98.09
ssr-core,ttw,0.16,10.09,98.1
ssr-core,ttw,0.16,10.09,98.09
ssr-core,ttw,0.16,10.08,98.1
ssr-core,ttw,0.32,12.17,94.81
ssr-core,ttw,0.32,12.17,94.8
ssr-core,ttw,0.32,12.17,94.8
ssr-core,ttw,0.32,12.19,94.8
sswp-core,dl,0.08,18.92,78.57
sswp-core,dl,0.08,18.8,78.1
sswp-core,dl,0.08,18.81,77.96
sswp-core,dl,0.08,18.88,78.2
sswp-core,dl,0.16,20.38,80.78
sswp-core,dl,0.16,20.36,80.53
sswp-core,dl,0.16,20.42,80.9
sswp-core,dl,0.16,20.39,80.64
sswp-core,dl,0.32,24.09,83.45
sswp-core,dl,0.32,24.1,83.36
sswp-core,dl,0.32,24.07,83.23
sswp-core,dl,0.32,24.09,83.23
sswp-core,ttw,0.08,10.47,87.04
sswp-core,ttw,0.08,10.62,87.22
sswp-core,ttw,0.08,10.44,87.04
sswp-core,ttw,0.08,10.44,87.0
sswp-core,ttw,0.16,11.7,86.64
sswp-core,ttw,0.16,11.71,86.56
sswp-core,ttw,0.16,11.71,86.61
sswp-core,ttw,0.16,11.79,86.66
sswp-core,ttw,0.32,13.9,76.18
sswp-core,ttw,0.32,13.91,76.46
sswp-core,ttw,0.32,13.9,76.47
sswp-core,ttw,0.32,13.91,76.17
wcc-core,dl,0.08,13.32,67.98
wcc-core,dl,0.08,13.37,69.64
wcc-core,dl,0.08,13.52,71.69
wcc-core,dl,0.08,13.34,68.58
wcc-core,dl,0.16,14.45,76.1
wcc-core,dl,0.16,14.52,76.54
wcc-core,dl,0.16,14.44,75.54
wcc-core,dl,0.16,14.45,75.95
wcc-core,dl,0.32,16.85,82.94
wcc-core,dl,0.32,16.84,83.45
wcc-core,dl,0.32,16.85,83.59
wcc-core,dl,0.32,16.84,83.46
wcc-core,ttw,0.08,5.88,97.36
wcc-core,ttw,0.08,5.93,97.38
wcc-core,ttw,0.08,5.9,97.36
wcc-core,ttw,0.08,5.88,97.34
wcc-core,ttw,0.16,6.81,97.4
wcc-core,ttw,0.16,6.73,97.39
wcc-core,ttw,0.16,6.73,97.39
wcc-core,ttw,0.16,6.74,97.38
wcc-core,ttw,0.32,8.53,93.01
wcc-core,ttw,0.32,8.54,93.01
wcc-core,ttw,0.32,8.52,93.01
wcc-core,ttw,0.32,8.53,93.01
ssnp-core,dl,0.08,18.44,77.26
ssnp-core,dl,0.08,18.42,77.25
ssnp-core,dl,0.08,18.47,77.62
ssnp-core,dl,0.08,18.39,77.38
ssnp-core,dl,0.16,20.08,80.69
ssnp-core,dl,0.16,19.89,79.93
ssnp-core,dl,0.16,19.99,80.09
ssnp-core,dl,0.16,19.98,80.04
ssnp-core,dl,0.32,23.82,83.63
ssnp-core,dl,0.32,23.76,83.46
ssnp-core,dl,0.32,23.79,83.45
ssnp-core,dl,0.32,23.8,83.63
ssnp-core,ttw,0.08,10.0,86.46
ssnp-core,ttw,0.08,10.0,86.51
ssnp-core,ttw,0.08,9.99,86.49
ssnp-core,ttw,0.08,10.1,86.51
ssnp-core,ttw,0.16,11.23,86.16
ssnp-core,ttw,0.16,11.23,86.11
ssnp-core,ttw,0.16,11.31,86.21
ssnp-core,ttw,0.16,11.33,86.21
ssnp-core,ttw,0.32,13.56,75.21
ssnp-core,ttw,0.32,13.55,75.2
ssnp-core,ttw,0.32,13.56,75.21
ssnp-core,ttw,0.32,13.56,75.11
sssp-core,dl,0.08,25.71,98.12
sssp-core,dl,0.08,25.71,98.12
sssp-core,dl,0.08,25.71,98.12
sssp-core,dl,0.08,25.71,98.12
sssp-core,dl,0.16,27.03,97.82
sssp-core,dl,0.16,27.03,97.82
sssp-core,dl,0.16,27.03,97.82
sssp-core,dl,0.16,27.03,97.82
sssp-core,dl,0.32,29.32,94.7
sssp-core,dl,0.32,29.32,94.7
sssp-core,dl,0.32,29.32,94.7
sssp-core,dl,0.32,29.32,94.7
sssp-core,ttw,0.08,30.4,99.29
sssp-core,ttw,0.08,30.4,99.29
sssp-core,ttw,0.08,30.4,99.29
sssp-core,ttw,0.08,30.4,99.29
sssp-core,ttw,0.16,31.53,98.58
sssp-core,ttw,0.16,31.53,98.58
sssp-core,ttw,0.16,31.53,98.58
sssp-core,ttw,0.16,31.53,98.58
sssp-core,ttw,0.32,32.78,93.03
sssp-core,ttw,0.32,32.78,93.03
sssp-core,ttw,0.32,32.78,93.03
sssp-core,ttw,0.32,32.78,93.03
viterbi-core,dl,0.08,21.1,49.26
viterbi-core,dl,0.08,21.26,50.74
viterbi-core,dl,0.08,21.11,49.57
viterbi-core,dl,0.08,21.23,51.12
viterbi-core,dl,0.16,23.58,56.8
viterbi-core,dl,0.16,23.52,56.29
