graph_name,batch_size,wasted_percentage
stack_snap,362334,0.948947
stack_snap,724668,1.911189
stack_snap,1449337,3.769957
stack_snap,2898675,7.366018
stack_snap,5797351,17.150375
ttw_snap,14683651,2.582724
ttw_snap,29367303,5.233703
ttw_snap,58734607,9.775776
ttw_snap,117469214,18.757372
ttw_snap,234938429,35.452567
snap_or,3270374,19.144693
snap_or,6540749,25.406942
snap_or,13081499,35.355059
snap_or,26162998,53.394145
snap_or,52325997,71.829138
snap_dl,1721839,10.863735
snap_dl,3443679,14.102337
snap_dl,6887359,21.050662
snap_dl,13774718,59.842253
snap_dl,27549437,56.714932 
